Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,AVAXUSDT,4749.465685110425,2020-10-26 15:45:00,4.211,0.0,2020-10-26 20:45:00,4.213,0.0,9.498931370220816,0.00047494656851104083,Long,Closed,0
1,AVAXUSDT,4849.895727241864,2020-10-27 06:30:00,4.1238,0.0,2020-10-27 07:45:00,4.1563,0.0,157.62161113535694,0.007881080556767847,Long,Closed,1
2,AVAXUSDT,5332.906700797269,2020-11-22 06:30:00,3.7503,0.0,2020-11-22 08:00:00,3.8206,0.0,374.9033410660486,0.01874516705330243,Long,Closed,2
3,AVAXUSDT,5081.817257851408,2020-11-24 10:15:00,3.9356,0.0,2020-11-24 13:45:00,4.0787,0.0,727.2080495985392,0.03636040247992696,Long,Closed,3
4,AVAXUSDT,4837.110310300627,2020-11-25 20:45:00,4.1347,0.0,2020-11-26 10:45:00,3.52,0.0,-2973.371707741793,-0.14866858538708966,Long,Closed,4
5,AVAXUSDT,5467.61803220427,2020-11-30 08:30:00,3.6579,0.0,2020-11-30 10:00:00,3.7061,0.0,263.53918915224494,0.013176959457612247,Long,Closed,5
6,AVAXUSDT,5409.645397744178,2020-11-30 21:30:00,3.6971,0.0,2020-11-30 22:45:00,3.7268,0.0,160.66646831300022,0.008033323415650011,Long,Closed,6
7,AVAXUSDT,5349.882302589343,2020-12-03 00:00:00,3.7383999999999995,0.0,2020-12-03 02:15:00,3.7744,0.0,192.59576289321922,0.00962978814466096,Long,Closed,7
8,AVAXUSDT,5277.32334160114,2020-12-03 13:45:00,3.7898,0.0,2020-12-03 14:15:00,3.816,0.0,138.26587154994922,0.006913293577497461,Long,Closed,8
9,AVAXUSDT,5359.774889454643,2020-12-03 16:15:00,3.7315,0.0,2020-12-03 18:15:00,3.7949,0.0,339.80972799142546,0.016990486399571274,Long,Closed,9
10,AVAXUSDT,5479.45205479452,2020-12-04 10:15:00,3.6500000000000004,0.0,2020-12-04 13:00:00,3.6734,0.0,128.21917808219223,0.006410958904109611,Long,Closed,10
11,AVAXUSDT,5541.2406837891,2021-01-02 08:15:00,3.6093,0.0,2021-01-02 13:15:00,3.611,0.0,9.420109162441804,0.0004710054581220902,Long,Closed,11
12,AVAXUSDT,5740.198610871937,2021-01-02 16:15:00,3.4842,0.0,2021-01-02 18:15:00,3.5204,0.0,207.79518971356447,0.010389759485678223,Long,Closed,12
13,AVAXUSDT,5935.598753524262,2021-01-02 19:15:00,3.3695,0.0,2021-01-02 22:45:00,3.5887,0.0,1301.0832467725195,0.06505416233862597,Long,Closed,13
14,AVAXUSDT,5671.5063520871145,2021-01-03 19:30:00,3.5263999999999998,0.0,2021-01-03 21:15:00,3.6214,0.0,538.7931034482754,0.026939655172413767,Long,Closed,14
15,AVAXUSDT,5785.363031530229,2021-01-03 22:15:00,3.457,0.0,2021-01-04 01:00:00,3.5532,0.0,556.5519236332075,0.027827596181660374,Long,Closed,15
16,AVAXUSDT,6057.302077654613,2021-01-04 09:45:00,3.3018,0.0,2021-01-04 12:45:00,3.4509,0.0,903.1437397783011,0.045157186988915056,Long,Closed,16
17,AVAXUSDT,5706.948209444999,2021-01-05 06:15:00,3.5045000000000006,0.0,2021-01-05 07:15:00,3.5982,0.0,534.741047224994,0.026737052361249698,Long,Closed,17
18,AVAXUSDT,4399.181752194092,2021-01-07 07:30:00,4.5463,0.0,2021-01-07 09:45:00,4.5744,0.0,123.6170072366549,0.006180850361832745,Long,Closed,18
19,AVAXUSDT,4695.7175056348615,2021-01-07 18:45:00,4.2592,0.0,2021-01-07 19:45:00,4.5723,0.0,1470.2291510142786,0.07351145755071394,Long,Closed,19
20,AVAXUSDT,4525.5011992578175,2021-01-07 23:15:00,4.4194,0.0,2021-01-08 00:15:00,4.5303,0.0,501.8780829976931,0.025093904149884657,Long,Closed,20
21,AVAXUSDT,4594.532506317482,2021-01-08 01:00:00,4.353,0.0,2021-01-08 04:15:00,4.3299,0.0,-106.13370089593082,-0.005306685044796541,Long,Closed,21
22,AVAXUSDT,3878.449395931507,2021-01-08 18:15:00,5.1567,0.0,2021-01-08 20:15:00,5.1994,0.0,165.6097892062753,0.008280489460313765,Long,Closed,22
23,AVAXUSDT,2909.852761450271,2021-01-10 10:15:00,6.873199999999999,0.0,2021-01-10 13:15:00,6.9002,0.0,78.56602455916072,0.0039283012279580365,Long,Closed,23
24,AVAXUSDT,3032.002789442566,2021-01-10 17:45:00,6.5963,0.0,2021-01-10 18:15:00,6.7823,0.0,563.9525188363186,0.02819762594181593,Long,Closed,24
25,AVAXUSDT,3087.9923417789923,2021-01-10 20:00:00,6.4767,0.0,2021-01-10 21:15:00,6.6513,0.0,539.1634628746106,0.02695817314373053,Long,Closed,25
